prompt_id,text
0,"Well, in my opinion I feel that computers have a negative effect on our society. I feel this way for many reasons; @CAPS1 three important reasons would be the following. First, most kids spend more time on computers then they do on homework which messes up their focus in school. Next, computers stop children from going to play outside and getting excercise which effects their health. Last but not least, I feel that computers stop kids from enjoying their family and friends and people around them who care. The first issue i will be discussing will be how computers take the time away from children who should be doing homework or reading a book. Children all over come home from school and the first thing they do is hop on the computer and usually spend hours doing nothing. By them doing that they do not complete their homework which effects their knowledge in school. If children did not have computers it would be easier for them to pick up a book and focus on their school work. My next reason that i will be adressing is how computers stop kids from getting the proper exercise daily and it stops them from getting fresh air and thats bad for their health. Before everyone in the economy had enough money for computers and laptops students would come home and play outside and get involved in sports but now all kids want to do is go on the computer and go on game websites and facebook which is horrible for their health without computers kids can stay in shape and live a healthy life. The last issue that i will be informing you about is how computers stop kids from spending time with their family and friends and spending more time on the computer. Children go to school everyday and most parents work when everyone finally gets home all kids want to do is go on the computers and even parents to. If children are always on the computer then it takes away from the time they can be spending with their loved ones. Studies show that @PERCENT1 of children that spend time with their family tend to do better in school and in life. With computers the percentage will go down. As you can see computers take away from all the good things in life. If there were not computers students can focus more on their work, they can get more exercise. and they can spend more time with the people they love. I hope i haved persuaded you that there is more to life then technology."
0,"Dear, Local Newspaper @CAPS1 here to inform you that the time we spend on computers is needed because it helps you with information, it helps you to become smarter and it helps you with hand-eye coordination. I will now explain to you why the time we spend on computers is needed by stating these three reason. My first reason I'll like to state that will convince you with the time we spend on computer's are needed is it helps us with information and it teaches stuff about place's, people, culture and more it teaches us useful information which takes a while to learn so the time we spend on computeres is needed to learn new information. My second reason I'll like to state that will convince you with. The time we spend on computer's are needed is it helps us to become smarter. Say if you needed help with fractions you can go on a math site it helps you with it. Computers make you become become smarter. And at the end of the day it's about who's smarter not who does more excerise. My third and final reason which contribute to why we spend the time we spend on computer are needed because it teaches you good hand-eye coordination because it help with typing and become more faster to do essay's and when you have good hand-eye coordination you dont make a lot of mistake's typing. So I have come to my conclusion why a lot of computer time is needed because it helps with information, you become smarter, and it teaches good hand-eye coordination this is why a lot of computer time is needed probably even more computer time is needed. A lot of computer time is needed because you get smarter plus it beneifts society."
0,"The effects computers have on people vary from person to person but overall they have the general same effect. The things that is a most common effects is it teaches Hand-eye coordination. Advantages of computers are you can learn about places and/or people, and you can talk with people. Hand-eye coordination is an effect from computers. One advantage is that people can type faster. On average @PERCENT1 of people said that they have been able to type faster. This is a result of getting a feel of where the keys are and being able to look at the screen and type. Hand-eye coordination also helps with people being able to multi task. An example of multi tasking with hand-eye coordination is being able to talk to somebody and type-up something at the same time. An arguement is that computers take away from sports and exercise. But my friends said, ""I'm a goalie for my soccer team and having hand-eye coordination has really improved my skill. I can stop more soccer balls than I did before"". Therefor, it realy doesn't take away from sports because in most sports you use your hands. Another advantage about computers is that you can talk with people. Talking online is an advantage for some people who might not have a phone. Also talking online for maybe an hour or more is better than talking on a phone for that long. For adults who had lost tosch with old friends from growing up, can connect with them. This lets them catch up and re-connect with each other. Most people think that kids use computers for useless things. Kids don't really, in a survey @PERCENT2 of people under the age of @NUM1 said that what they do on the computer they find it to be productive. Most of the things are for the school. On the computer you can learn about places and/or people. When people look in a book about the place they want to learn about, more than likely it won't be as updated as a website would be. Also when they are looking for a place the website might tell them how they could be able to visit that place. Computers are a good thing because it teaches hand-eye coordination, you can talk with people, and you can learn about places and/or people. "
0,"Dear @CAPS1, I agreed with the people that feel that people should spend more time with the family instead of being stuck on the computer or laptop. I know that computer could be fun to chat or play game but also need to spend more time with your family for example go camping and parks, swim, fish, and go on vacation. Also want to spen as much time as posible just in case something gose wrong you will always remember the good times you had together. You also could help your grandparint build a gardin or play games. Instead of being a computer or a laptop you could big food chlose for you or your children you can even go to a restaurant. You can do al sorse of thing instead of beang on the computer. You can even go to a zoo to learn about all of animal. Like I sed I dont wayst your time on a computer on somewere and enjoy your life."
0,"Dear newspaper, Some people say that computers don't benefit society. But I think diferent. Computers benefit society more than you would think. They help people learn and makes work much easier. They help prevent acidents, and the save lives. Computers help people learn and make work easier its a fact. You can type you can plan your sedual. You can make a presantation or check your email. All of those things make work easier. And there are tons of more things you can do. As I said before they can help people learn. You can learn trillions of things on the internet. You can learn about everything on the internet and it is quite amazing. You could get a medical degree on the internet. Makeing work easyer or helping people learn aren't the extent of the computers abilitys. Computers can prevent acidents in anything that moves. For example cars millions on the road today and some can practily drive them selves. And that is all done with computers. Also planes, the only reason the piolot is there is in case something gose wrong. Same thing with trains. Furthermore @CAPS1 are completly computerized all the humans do is tell the computer what they want it to do. Almost everything that moves within its own power has been computerized at some point in time. And that makes the world safer for every one. Finaly computers save lives, its completly true. In hospitals without computers people would be dieing every day. They use them to keep records, record vital signs and asist with surgery. In surgery computers help by only haveing to make a tiny insision and can be much more acurate than human sergons which save lives. Also computers can mak sure that a operating room is completly sterial which reduces risks of infection. As you can see computers benifit society a lot more than you might think. They help people learn and make work easyer. They prevent acidents with which reduces people going to the hospital. And if they do go they are almost garenteed a survival. So what do you think about them now."
0,"You say that computers are bad on todays society? @CAPS1 I'm here to prove you wrong and tell you that they can actually benefit todays society. Maybe some kids don't have phones, so they can go log onto facebook and do everything a phone has to offer and more. School. School. School; so many homework assignments and projects are assigned, and using computer programs help alot and give that proffesional touch. And how coud you forget 'google' the most famous online system, that everyone loves you can do just about anything with that page. So computers bad for society, think again and listen closely. blc computers have just benifited us more than ever. www.facebook.com, that is one of the most visited pages on the internet for all different ages, it deffinetly benefits you. Logging on and seeing your friends profile's newest updates on pictures, videos and life, you get every little detail using facebook. And I you don't have a phone, no. wornes, facebook has a chat system, so you and friends and relatives can talk, or maybe theirs a family party comingup you can get inboxed on all the information, and visit the relatives homepage and see how theyve been doing. @CAPS3 you haven't logged into facebook yet, you deffinetly will now! ""This project will be done on the computer,"" how many times do you hear a teacher says that, almost everytime youre given an assignement! @CAPS1 windows and @ORGANIZATION1 programs will really benefit you in your need for school help. Lets say you've been assigned a project to create a product commerical in computer class, you can hop right onto windows movie maker and get all the help you need, and you'll have the ability to create you project right on the program so it looks and sounds professional. One program you can always use throughout life for presentation is 'power ', In my history class we were assigned a famous person from the @DATE1's and were to do a presentation; @CAPS1 when I got my assignment I went right to powerpoint and got a great grade! lastly the known, @ORGANIZATION1 word! used for all kinds of projects or homeworks and espically writing papers or short stories, having spell check, youre garenteed a good grade! Google! Everyone knows it and everyone loves it. This web hit canbe used for just about anything. From searching pictures and information for a school projects, watching videos of songs, friends, or tv shows that you love or wonna check up on. to looking at websites. Some say the @CAPS2 holds people from exersising, but google can shows you videos of special work outs or websites on healthy eating or an on exercise group or fitness club, so now you see the internet benefits us tremendously! ""Have you change your mind? have you listened closely?"" @CAPS3 so your life just become a whole lot easier, by using facebook, for social ability, @ORGANIZATION1 and windows programs for school, and google for life and health, you have just benefitted from my writing and from using modern technology, the computer!"
0,"There are many great things about computers. If we were to loose them then our lives would change dramatily. You can use computers for exercise then it is also up to the @CAPS3 on limits. Last it can save lives Computers are great, if we were to loose them. There would be no more internet. you would't be able to talk to friends on @CAPS1 or e-mail. Cell phone prices would go through the roof. We would technacly be going back @NUM1 to @NUM2 years. Last with out computers there would be more diffeculty in large companies Computers can help exercise. One way is we can find closest gyms on the internet. We can find what is healthy to eat right away You can also get one of those @CAPS2 fits for a computer. Also you can find free work out videos. Next, it should be up to the @CAPS3. It is their discretion if they see that the child is spending to much time on the comuter and gaining weight they can easaly limit it. they can say for very hour your on the computer you have to do an hour of exercise. Lastly the computer can save lives. Before computers medicine like tylonal was used for everything. Stuffy nose, headache, cold etc. Now we can go on the computer to find weather the medication is at all dangerous. You can also find the nearest hospital. Finally, computers can do a lot of good, even though it can make less unhealthy if you spend to much time on it it can save your life. It can also destroy companies and our lives, @CAPS3 can give limits and computers can used to exercise. So reading this essay please don't take away our computer"
0,"Dear The @CAPS1, People have been saying that computers are not beneficial, but they are wrong. In my opinion computers are very beneficial. Computers teach hand-eye coordination, give people the ability to learn about other people and faraway places, also, you can use the internet to interact with friends and family. Computers can be very useful and efficient to anybody. Did you know that computers can teach hand-eye coordinaiton? Some computers have programs that teach you how to type. Without having to lock down at the keyboard. Even if people don't have the program they can learn how to type fact without having to look down. Many people that I know, have learned how to use the computer or type without anyone telling them hour to do so. Computers are very needed all around the world. Computers give people the ability to learn about other people and places. If you go on the internet you can go and searching person or place and the computer will find it for you. Children and adults need computers because if for example, a child get a project from schoool that need to be done about a famous person or smoking. she would most likely need to go to the internet . The game goes for adults that love jobs in offices, schools or anywhere else. Computers are essential to people all around the world. Computer can be used to comunicate with each other. People use computer to communicate with friends or family in far away places. They can communicate via e-mail, @CAPS2, video and maybe even in other web sites. Some web sites contain the ability to talk to each other through video or through messages, such as @CAPS3, or @CAPS4. People like using the computer because it is very useful when you need it most. If you ask anyone they will tell you that having a computer is very important and necessary. Why would people intend to take away something as important and useful as a computer? Computers can be used to learn hand-eye coordination, and help you move your fingers faster. They give poeple and places in the world. Finally, they can be used to communicate with one another through e-mail, message and many other ways. In my opinion, computers are one of the most important things to a person."
0,"Dear local newspaper, I have some arguments to tell you how computers aren't all bad. One you can use them to get information for a project, talk to your friends, or learn about something you have never known before. My first argument is that most people use there computer to get information for a project they have to do for class. For example, they could need information for a country like @LOCATION2, @LOCATION3, @LOCATION1. There are many way you can get this information. So if you didn't have a computer where could you get all this information. If you get it from a it might not have what you are looking for your project. Had the computer here a bigger range of knowledge then a have. My second example, is you can talk to your friends you haven't seen or talked to in a long time. There are many ways you can do this On @CAPS1, @CAPS2, twitter, yahoo. You could always because it is always better to make new friends. Even better to a family member. I know it is alot better to talk to a family because they already know you. Finally, it is always better out something you never knew before or something you have been wondering about. But you could always go on google, ask or wikipedia. They can all help you you have been looking for. But that doesn't mean you can't find it in a book either. They are chalk full of answer and ideas that can help you. My conclusion, is that you can always find ways to get the answer you need. But that also doesn't mean that you should be sitting on the computer when you could be going outside, or playing with our friends. And nothing is better then spending your time outside. So use the time on the computer better. Then go out side and enjoy the outdoors."
0,"Dear @CAPS1 @CAPS2, I @CAPS3't you agree that computers benefit society? I sure do. I find my computer benefits the society because you can interact with others online. Its easy to find entertainment and @CAPS4 is extremely helpful and profitable. Now you @MONTH1 not beleive computers are "" Society friendly"" but I am here to argue that statement. Now, one thing I love about computers is now easily you can interact with people whether they're miles away or right in your neighborhood, you could chat with them in the push of a button. For instance, my friends all have the infamous? Facebook account. All I have to do is go online, click my chat box and click their name and then @CAPS5! were talking. And the better part is you @CAPS3't have to share any personal details ( @CAPS6 @CAPS7, phone number etc..) to chat on facebook. Wow wasn''t that easy? Did you ever turned on your @CAPS8. scanned through channels and say ""@CAPS9 goods on @CAPS8?"" @CAPS11, with a computer. theres always something to watch. Whethe @CAPS4 old a new, fake a real, live or not, the computer has many things tool/ watch. You could pull up your @CAPS12 browser and go on @CAPS13 (A video site) and watch their wonderful variety of filling. There are atleast @NUM1 million videos on @CAPS13 and @NUM2 being watched/uploded per day. Infact the ""@CAPS14"" views @NUM3+ video a day without noticing @CAPS4. If your looking for stand up, you could type in ""@CAPS15 @CAPS16! If you're looking to action, you type in chan . Basically, the computer and the bad wide web things to do. Now, @CAPS17 stating those two things, @CAPS4 has come to my attention that the computer is also extremely helpful. Say if you have an extremely big test/report due tomorrow, you can study for @CAPS4 online. You can go on google and type in your projects subject and get over @NUM4 results in a fraction of a second depending on your bandwidth. Now, the computer is also profitable. Did you know the two people who made google are dirt rich? They made more than the @ORGANIZATION1 and the company @ORGANIZATION1 makes the mostly used computer system. So once again, the computer is extremely helpful and profitable. This is exactly why I beleive the computer benefits the society. The computer lets you interact with other, keeps you entertained and is very helpful and profitable. So quite frankly, you should beleive that the computer is society benefitcial. Thank you for your time."
