author1,author2,trial,accuracy
human,gemini-1.0-pro,0,0.96125
human,gemini-1.0-pro,1,0.9775
human,gemini-1.0-pro,2,0.97125
human,gemini-1.0-pro,3,0.9825
human,gemini-1.0-pro,4,0.9575
human,gemini-1.0-pro,5,0.94125
human,gemini-1.0-pro,6,0.97
human,gemini-1.0-pro,7,0.97375
human,gemini-1.0-pro,8,0.99375
human,gemini-1.0-pro,9,0.85875
human,gemini-1.0-pro,10,0.9775
human,gemini-1.0-pro,11,0.94625
human,gemini-1.0-pro,12,0.9775
human,gemini-1.0-pro,13,0.96875
human,gemini-1.0-pro,14,0.955
human,gemini-1.0-pro,15,0.97
human,gemini-1.0-pro,16,0.985
human,gemini-1.0-pro,17,0.98625
human,gemini-1.0-pro,18,0.9825
human,gemini-1.0-pro,19,0.96375
human,gemini-1.0-pro,20,0.97
human,gemini-1.0-pro,21,0.88625
human,gemini-1.0-pro,22,0.86375
human,gemini-1.0-pro,23,0.86375
human,gemini-1.0-pro,24,0.91
human,gemini-1.0-pro,25,0.9625
human,gemini-1.0-pro,26,0.94125
human,gemini-1.0-pro,27,0.96125
human,gemini-1.0-pro,28,0.93125
human,gemini-1.0-pro,29,0.86125
human,gemini-1.5-pro-latest,0,0.95625
human,gemini-1.5-pro-latest,1,0.94
human,gemini-1.5-pro-latest,2,0.94125
human,gemini-1.5-pro-latest,3,0.93625
human,gemini-1.5-pro-latest,4,0.94
human,gemini-1.5-pro-latest,5,0.93125
human,gemini-1.5-pro-latest,6,0.92625
human,gemini-1.5-pro-latest,7,0.9525
human,gemini-1.5-pro-latest,8,0.81875
human,gemini-1.5-pro-latest,9,0.94875
human,gemini-1.5-pro-latest,10,0.92375
human,gemini-1.5-pro-latest,11,0.9325
human,gemini-1.5-pro-latest,12,0.935
human,gemini-1.5-pro-latest,13,0.94125
human,gemini-1.5-pro-latest,14,0.79125
human,gemini-1.5-pro-latest,15,0.955
human,gemini-1.5-pro-latest,16,0.84375
human,gemini-1.5-pro-latest,17,0.93125
human,gemini-1.5-pro-latest,18,0.87875
human,gemini-1.5-pro-latest,19,0.94875
human,gemini-1.5-pro-latest,20,0.925
human,gemini-1.5-pro-latest,21,0.91625
human,gemini-1.5-pro-latest,22,0.93
human,gemini-1.5-pro-latest,23,0.9375
human,gemini-1.5-pro-latest,24,0.93
human,gemini-1.5-pro-latest,25,0.8075
human,gemini-1.5-pro-latest,26,0.83
human,gemini-1.5-pro-latest,27,0.825
human,gemini-1.5-pro-latest,28,0.9075
human,gemini-1.5-pro-latest,29,0.87875
human,claude-3-sonnet-20240229,0,0.73125
human,claude-3-sonnet-20240229,1,0.8325
human,claude-3-sonnet-20240229,2,0.91375
human,claude-3-sonnet-20240229,3,0.87625
human,claude-3-sonnet-20240229,4,0.8775
human,claude-3-sonnet-20240229,5,0.82625
human,claude-3-sonnet-20240229,6,0.92
human,claude-3-sonnet-20240229,7,0.89625
human,claude-3-sonnet-20240229,8,0.9225
human,claude-3-sonnet-20240229,9,0.8275
human,claude-3-sonnet-20240229,10,0.81125
human,claude-3-sonnet-20240229,11,0.85
human,claude-3-sonnet-20240229,12,0.76125
human,claude-3-sonnet-20240229,13,0.90625
human,claude-3-sonnet-20240229,14,0.80625
human,claude-3-sonnet-20240229,15,0.89125
human,claude-3-sonnet-20240229,16,0.9175
human,claude-3-sonnet-20240229,17,0.9175
human,claude-3-sonnet-20240229,18,0.925
human,claude-3-sonnet-20240229,19,0.80625
human,claude-3-sonnet-20240229,20,0.87
human,claude-3-sonnet-20240229,21,0.8825
human,claude-3-sonnet-20240229,22,0.8825
human,claude-3-sonnet-20240229,23,0.91875
human,claude-3-sonnet-20240229,24,0.8325
human,claude-3-sonnet-20240229,25,0.89375
human,claude-3-sonnet-20240229,26,0.83625
human,claude-3-sonnet-20240229,27,0.89375
human,claude-3-sonnet-20240229,28,0.8675
human,claude-3-sonnet-20240229,29,0.9075
human,claude-3-opus-20240229,0,0.9175
human,claude-3-opus-20240229,1,0.755
human,claude-3-opus-20240229,2,0.91375
human,claude-3-opus-20240229,3,0.79
human,claude-3-opus-20240229,4,0.8925
human,claude-3-opus-20240229,5,0.8225
human,claude-3-opus-20240229,6,0.89375
human,claude-3-opus-20240229,7,0.77875
human,claude-3-opus-20240229,8,0.90875
human,claude-3-opus-20240229,9,0.835
human,claude-3-opus-20240229,10,0.8075
human,claude-3-opus-20240229,11,0.89
human,claude-3-opus-20240229,12,0.865
human,claude-3-opus-20240229,13,0.74375
human,claude-3-opus-20240229,14,0.905
human,claude-3-opus-20240229,15,0.9275
human,claude-3-opus-20240229,16,0.895
human,claude-3-opus-20240229,17,0.9175
human,claude-3-opus-20240229,18,0.91
human,claude-3-opus-20240229,19,0.8325
human,claude-3-opus-20240229,20,0.8775
human,claude-3-opus-20240229,21,0.9025
human,claude-3-opus-20240229,22,0.82
human,claude-3-opus-20240229,23,0.8225
human,claude-3-opus-20240229,24,0.8925
human,claude-3-opus-20240229,25,0.81875
human,claude-3-opus-20240229,26,0.91
human,claude-3-opus-20240229,27,0.80125
human,claude-3-opus-20240229,28,0.82
human,claude-3-opus-20240229,29,0.87375
human,gpt-3.5-turbo-0125,0,0.9575
human,gpt-3.5-turbo-0125,1,0.85625
human,gpt-3.5-turbo-0125,2,0.84125
human,gpt-3.5-turbo-0125,3,0.97375
human,gpt-3.5-turbo-0125,4,0.9825
human,gpt-3.5-turbo-0125,5,0.825
human,gpt-3.5-turbo-0125,6,0.9275
human,gpt-3.5-turbo-0125,7,0.86875
human,gpt-3.5-turbo-0125,8,0.8925
human,gpt-3.5-turbo-0125,9,0.93375
human,gpt-3.5-turbo-0125,10,0.91625
human,gpt-3.5-turbo-0125,11,0.93375
human,gpt-3.5-turbo-0125,12,0.9625
human,gpt-3.5-turbo-0125,13,0.7825
